,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,overreg
369,no it was Bob singed it,oh was it Bob singing,0.104,CHI,MOT,1.603,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
370,look the pieces not a bit noisy,it is a bit noisy,0.105,CHI,MOT,2.357,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-16b.xml,TRUE,F
371,who drawed on Lofty's eye,I don't know,0.116,CHI,MOT,2.125,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
372,um felt game gone,I don't know,0.208,CHI,MOT,1.846,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-16b.xml,TRUE,F
373,I I eated a big yoghurt,you were eating a big yoghurt,-0.116,CHI,MOT,2.38,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-18a.xml,TRUE,T
374,did just have one,yeah you just had one,0.174,CHI,MOT,1.405,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-18b.xml,TRUE,F
375,I nearly goed in the mud,yeah you did didn't you,0.023,CHI,MOT,1.823,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-18b.xml,TRUE,T
376,did I missed him,yeah because if the door's opening that means Daddy's already in the house doesn't it,-0.267,CHI,MOT,1.359,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-19a.xml,TRUE,F
377,and these are three mouses,three mice,0.093,CHI,MOT,2.508,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-19a.xml,TRUE,T
378,did you went,yeah,0.035,CHI,MOT,0.696,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-19b.xml,TRUE,F
379,we only bought today,oh dear,0,CHI,MOT,1.799,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-19b.xml,TRUE,F
380,is he the baddies too,yeah,0.003,CHI,MOT,1.509,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-19b.xml,TRUE,F
381,is he the baddies,yes,0.603,CHI,MOT,1.858,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-19b.xml,TRUE,F
382,that that's a baddie and that's a baddie and that's the baddie and that's a baddie and that's a baddie and that's a baddies,yes,0.046,CHI,MOT,8.324,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-19b.xml,TRUE,F
383,there was dustbin lorry,no,0.418,CHI,MOT,1.823,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-20a.xml,TRUE,F
384,what's grey because that didn't go there,but I thought you said it went over there,0.572,CHI,MOT,2.891,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-20a.xml,TRUE,F
385,I heared the people,you heard the people,0.035,CHI,MOT,1.405,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-20b.xml,TRUE,T
386,my foots have gone,your feet have gone,0.058,CHI,MOT,1.683,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-20b.xml,TRUE,T
387,do you know who was that green one was it,that's a tree,0.047,CHI,MOT,2.728,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21b.xml,TRUE,F
388,I wanna read a boys,you want to read the boys,0.267,CHI,MOT,2.067,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-21b.xml,TRUE,F
389,I think this one I think I think these ones supposed to be up,who made this,0.095,CHI,MOT,5.202,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-21b.xml,TRUE,F
390,it drinked it all,it drank all the juice didn't it,0.034,CHI,MOT,1.405,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21b.xml,TRUE,T
391,where did you do did that,how did I do that,0.003,CHI,MOT,2.09,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21b.xml,TRUE,F
392,will I just carried it,yeah,0.139,CHI,MOT,1.672,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21b.xml,TRUE,F
393,I nearly falled then,that's not good is it,0.662,CHI,MOT,2.182,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21v.xml,TRUE,T
394,the the train said it,you didn't say it,0.07,CHI,MOT,2.949,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-21v.xml,TRUE,F
395,how did Wendy did that,pardon,2.296,CHI,MOT,2.229,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-23a.xml,TRUE,F
396,how did Wendy did that,like this,0.185,CHI,MOT,1.939,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-23a.xml,TRUE,F
397,why did it went down,because he has to put it down when he puts it away,1.498,CHI,MOT,1.997,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-23a.xml,TRUE,F
398,said they not,they are,0.035,CHI,MOT,1.324,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-25a.xml,TRUE,F
399,gone whoo,does it,-0.499,CHI,MOT,1.753,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-25a.xml,TRUE,F
400,er have you just have xxx had a rectangle,had the rectangles,0.427,CHI,MOT,5.236,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-25a.xml,TRUE,F
401,who broke it,I don't know,0.25,CHI,MOT,3.402,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-26a.xml,TRUE,F
402,I seen Maisy in here,well bring the book over here,0.534,CHI,MOT,2.752,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-26a.xml,TRUE,F
403,I breaked it,are you breaking it,0,CHI,MOT,1.207,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-26b.xml,TRUE,T
404,did I missed it,yeah you missed it,0.025,CHI,MOT,1.335,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-26b.xml,TRUE,F
405,I sat on the Vimto,you sat on the Vimto,0.096,CHI,MOT,2.148,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-27b.xml,TRUE,F
406,we got lotsa things haven't we,yes,0.411,CHI,MOT,1.979,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-27b.xml,TRUE,F
407,look the cat eated that thing,did it,0.255,CHI,MOT,3.309,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-27b.xml,TRUE,T
408,I runned on the white bit,you did,0.069,CHI,MOT,2.369,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-27b.xml,TRUE,T
409,where did you bought those,got them from the shops,0.029,CHI,MOT,1.672,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29a.xml,TRUE,F
410,did he didn't want to play with me anymore,no,0.012,CHI,MOT,2.983,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29a.xml,TRUE,F
411,this one got puddle,we've got lots of things in here but Jwww doesn't sleep in here anymore does he,0.185,CHI,MOT,1.649,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29a.xml,TRUE,F
412,then then we slept in this bed didn't we,did she sleep up there,0,CHI,MOT,4.83,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29a.xml,TRUE,F
413,you runned on crocodile lake,again,0.243,CHI,MOT,2.241,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
414,the but the wind breaked it,no you broke it,0.035,CHI,MOT,2.578,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
415,no the wind blowed it away,no I think you were coloring with it and you broke it Fraser,0.464,CHI,MOT,2.45,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
416,that sound came with the owl and the pussycat,the sound,0.949,CHI,MOT,3.448,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,F
417,and lovely foots,and lovely feet,0.012,CHI,MOT,1.311,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-29b.xml,TRUE,T
418,someone breaked it,yeah I know,0.035,CHI,MOT,1.602,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
419,I goed in that boat with Daddy and I goed that boat with you,yeah,0.023,CHI,MOT,4.215,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
420,did he Jwww didn't want to go in there did he,no he didn't did he,0,CHI,MOT,3.309,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,F
421,Jwww goed on water ride didn't he,he did in the end yeah,0.294,CHI,MOT,2.578,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,T
422,I done the outside now I gonna going to do the inside,now you're gonna going to do the inside,0.079,CHI,MOT,3.448,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-29b.xml,TRUE,F
423,when you were little girl,yeah when I was a little girl like you Mummy used to have this book,0.075,CHI,MOT,1.544,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30a.xml,TRUE,F
424,he he threw the candle then he xxx,he threw the candles,-0.727,CHI,MOT,3.6,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-30a.xml,TRUE,F
425,got,might have to put a belt on you as well,-0.452,CHI,MOT,0.557,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-30b.xml,TRUE,F
426,it got a trunk didn't it,it did didn't it,0.023,CHI,MOT,2.415,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30b.xml,TRUE,F
427,did did did I lick it when I when I goed in the kitchen,did you like it,1.065,CHI,MOT,5.341,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30b.xml,TRUE,T
428,when I goed in the kitchen,what the cheese,0.012,CHI,MOT,1.788,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30b.xml,TRUE,T
429,the man taked my bouncy castle didn't he,he did yeah,0,CHI,MOT,3.495,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30b.xml,TRUE,T
430,lots lots lots colors don't I,yeah,0.267,CHI,MOT,3.042,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-30b.xml,TRUE,F
431,I'm stayed here,can you just get up a minute,0.615,CHI,MOT,2.926,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-30b.xml,TRUE,F
432,no he got three eyes,oh who's got three eyes,-0.209,CHI,MOT,1.719,TRUE,37,FALSE,TRUE,TRUE,fraser/3-01-00a.xml,TRUE,F
433,and and you would be cross didn't you,yes I would be cross,0.024,CHI,MOT,2.902,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-02b.xml,TRUE,F
434,but when I go growed up I can be space explorer,when you grow up you can be what,0.19,CHI,MOT,5.433,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-02b.xml,TRUE,?
435,did you didn't do Strum,no I didn't do Strum,0.047,CHI,MOT,2.229,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-02b.xml,TRUE,F
436,I had big Macdonalds,what did you have,0.058,CHI,MOT,2.299,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-02b.xml,TRUE,F
437,I knew you you were blame Jwww,I'm not blaming Jwww,1.816,CHI,MOT,2.542,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-02b.xml,TRUE,F
438,did you caught me,I did,0.082,CHI,MOT,1.23,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-03a.xml,TRUE,F
439,did you told me it's purple,mhm hm,0.024,CHI,MOT,2.554,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-03a.xml,TRUE,F
440,did Daddy and me drew it,yeah you and Daddy drew that didn't you,0.025,CHI,MOT,2.996,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-03a.xml,TRUE,F
441,hey it stuck to me hand,it stuck on your hand,0.168,CHI,MOT,2.496,TRUE,37,TRUE,FALSE,FALSE,fraser/3-01-03a.xml,TRUE,F
